threshold,coverage_mean,coverage_std,precision_mean,precision_std,precision_lcb_mean,precision_lcb_std,recall_mean,recall_std,coherent_kept_rate_mean,coherent_kept_rate_std
0.935000,0.006973,0.001752,0.916667,0.117851,0.491679,0.131381,0.010609,0.003445,0.006437,0.001993
0.940000,0.006436,0.001125,0.910000,0.124499,0.472286,0.130208,0.009714,0.002659,0.005900,0.001532
0.945000,0.004023,0.001642,0.950000,0.111803,0.378853,0.122626,0.006191,0.002468,0.003754,0.001469
0.950000,0.003754,0.001747,0.950000,0.111803,0.359629,0.118400,0.005744,0.002551,0.003486,0.001528
0.955000,0.003486,0.001528,0.950000,0.111803,0.345308,0.098269,0.005299,0.002000,0.003218,0.001199
0.960000,0.002145,0.001199,1.000000,0.000000,0.280099,0.106299,0.003513,0.001936,0.002145,0.001199
0.965000,0.001341,0.000948,0.800000,0.447214,0.192400,0.122586,0.002190,0.001535,0.001341,0.000948
0.970000,0.001073,0.000600,0.800000,0.447214,0.165235,0.092369,0.001756,0.000983,0.001073,0.000600
0.975000,0.000804,0.000734,0.600000,0.547723,0.123926,0.113128,0.001309,0.001195,0.000804,0.000734
0.980000,0.000536,0.000734,0.400000,0.547723,0.082617,0.113128,0.000861,0.001179,0.000536,0.000734
0.985000,0.000268,0.000599,0.200000,0.447214,0.041309,0.092369,0.000427,0.000956,0.000268,0.000599
0.990000,0.000268,0.000599,0.200000,0.447214,0.041309,0.092369,0.000427,0.000956,0.000268,0.000599
0.995000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
